Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000280317	0	0	0	1	1	1	0	0	0	2	2	0
ENSG00000162415	21	5	45	127	96	75	53	142	195	43	20	29
ENSG00000162600	252	765	370	541	337	404	138	220	246	262	169	282
ENSG00000116704	353	774	484	1405	705	588	144	285	543	447	354	393
ENSG00000157193	148	1299	505	616	294	161	44	179	133	403	386	793
ENSG00000116205	133	215	145	460	232	285	52	119	118	243	200	195
ENSG00000198841	24	66	41	121	22	26	17	21	35	32	39	41
ENSG00000116212	131	418	135	1260	246	257	399	982	968	274	342	497
ENSG00000234204	0	0	0	0	3	2	0	0	0	5	2	0
ENSG00000233099	1	0	0	0	2	0	0	0	0	1	1	0
ENSG00000233994	14	9	8	43	8	8	2	4	2	14	12	13
ENSG00000233973	1	0	0	2	3	5	0	0	0	15	0	5
ENSG00000132854	19	104	11	49	127	155	54	143	238	121	348	551
ENSG00000227556	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000162607	680	1766	939	2147	775	791	546	1177	2024	2682	915	2418
ENSG00000285954	2	0	2	8	1	6	0	0	0	23	5	6
ENSG00000233333	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000154027	78	23	26	54	90	140	1591	762	961	55	165	36
ENSG00000234108	0	0	1	1	1	1	0	0	0	8	1	1
ENSG00000232676	0	0	0	1	1	0	0	0	0	1	2	1
ENSG00000225167	0	0	0	0	2	1	0	0	0	4	0	0
ENSG00000213579	0	0	1	0	1	1	0	0	0	5	0	4
ENSG00000137960	28	5	16	29	11	24	55	147	186	27	18	6
ENSG00000237852	2	1	6	4	4	1	0	0	0	3	1	2
ENSG00000116745	1	0	0	2	5	3	3	13	10	12	13	5
ENSG00000132855	49	161	58	15	30	32	0	9	3	48	13	15
ENSG00000285407	21	2	5	1	3	6	0	1	0	22	1	14
ENSG00000270549	1	9	0	0	6	3	0	0	0	10	3	4
ENSG00000237163	2	0	0	0	0	1	0	0	0	0	1	0
ENSG00000229636	0	0	1	0	0	2	0	0	0	9	5	1
ENSG00000116675	31	43	62	254	98	76	36	200	262	206	116	79
ENSG00000162433	211	653	822	2371	841	690	689	1853	2410	393	783	478
ENSG00000213625	1016	1273	1055	3972	1543	1657	949	2726	3272	1625	1476	965
ENSG00000227207	1	0	0	0	0	0	0	0	0	3	1	0
ENSG00000227016	4	1	1	0	1	3	0	0	0	8	2	1
ENSG00000233664	0	0	0	1	0	3	0	0	0	6	0	4
ENSG00000158966	195	162	97	138	109	204	454	1568	2781	149	209	131
ENSG00000213703	5	19	5	2	5	2	0	0	1	6	5	7
ENSG00000203965	91	146	146	154	140	141	66	89	118	148	43	71
ENSG00000223479	0	0	0	0	0	1	0	0	0	1	1	0
ENSG00000233674	0	8	0	5	1	3	0	0	0	1	1	3
ENSG00000153898	256	96	424	140	40	68	15	91	72	124	58	86
